municipio_cod,municipio_fato,data_fato,mes,ano,risp,rmbh,tentado_consumado,qtde_vitimas
310620,BELO HORIZONTE,2022-02-13,2,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,CONSUMADO,1
310620,BELO HORIZONTE,2022-03-07,3,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,CONSUMADO,1
310620,BELO HORIZONTE,2022-03-27,3,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,CONSUMADO,1
310620,BELO HORIZONTE,2022-01-14,1,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,CONSUMADO,1
310620,BELO HORIZONTE,2022-04-24,4,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,CONSUMADO,1
310620,BELO HORIZONTE,2022-04-21,4,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,CONSUMADO,1
310620,BELO HORIZONTE,2022-06-05,6,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,CONSUMADO,1
310620,BELO HORIZONTE,2022-06-19,6,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,CONSUMADO,1
310620,BELO HORIZONTE,2022-06-08,6,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,CONSUMADO,1
310620,BELO HORIZONTE,2022-07-23,7,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,CONSUMADO,1
310620,BELO HORIZONTE,2022-05-17,5,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,CONSUMADO,1
310620,BELO HORIZONTE,2022-08-04,8,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,CONSUMADO,1
310620,BELO HORIZONTE,2022-08-09,8,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,CONSUMADO,1
310620,BELO HORIZONTE,2022-12-24,12,2022,1º Departamento - Belo Horizonte,1) Belo Horizonte,CONSUMADO,1
310670,BETIM,2022-07-17,7,2022,2º Departamento - Contagem,2) RMBH (sem BH),CONSUMADO,1
310670,BETIM,2022-05-03,5,2022,2º Departamento - Contagem,2) RMBH (sem BH),CONSUMADO,1
310670,BETIM,2022-08-29,8,2022,2º Departamento - Contagem,2) RMBH (sem BH),CONSUMADO,1
310670,BETIM,2022-09-14,9,2022,2º Departamento - Contagem,2) RMBH (sem BH),CONSUMADO,1
310670,BETIM,2022-10-16,10,2022,2º Departamento - Contagem,2) RMBH (sem BH),CONSUMADO,1
310730,BOCAIUVA,2022-11-08,11,2022,11º Departamento - Montes Claros,3) Interior de MG,CONSUMADO,1
310740,BOM DESPACHO,2022-02-02,2,2022,7º Departamento - Divinópolis,3) Interior de MG,CONSUMADO,1
310855,BRASILANDIA DE MINAS,2022-11-10,11,2022,16º Departamento - Unaí,3) Interior de MG,CONSUMADO,1
310900,BRUMADINHO,2022-07-12,7,2022,2º Departamento - Contagem,2) RMBH (sem BH),CONSUMADO,3
310940,BURITIZEIRO,2022-12-02,12,2022,14º Departamento - Curvelo,3) Interior de MG,CONSUMADO,1
311090,CAMPANHA,2022-08-20,8,2022,6º Departamento - Lavras,3) Interior de MG,CONSUMADO,1
311120,CAMPO BELO,2022-07-24,7,2022,6º Departamento - Lavras,3) Interior de MG,CONSUMADO,1
311130,CAMPO DO MEIO,2022-03-23,3,2022,18º Departamento - Poços de Caldas,3) Interior de MG,CONSUMADO,1
311230,CAPELINHA,2022-05-25,5,2022,14º Departamento - Curvelo,3) Interior de MG,CONSUMADO,1
311230,CAPELINHA,2022-05-27,5,2022,14º Departamento - Curvelo,3) Interior de MG,CONSUMADO,1
311340,CARATINGA,2022-10-08,10,2022,12º Departamento - Ipatinga,3) Interior de MG,CONSUMADO,1
311350,CARBONITA,2022-02-04,2,2022,14º Departamento - Curvelo,3) Interior de MG,CONSUMADO,1
311420,CARMO DO CAJURU,2022-06-30,6,2022,7º Departamento - Divinópolis,3) Interior de MG,CONSUMADO,1
311420,CARMO DO CAJURU,2022-11-28,11,2022,7º Departamento - Divinópolis,3) Interior de MG,CONSUMADO,1
311430,CARMO DO PARANAIBA,2022-11-12,11,2022,10º Departamento - Patos de Minas,3) Interior de MG,CONSUMADO,1
311530,CATAGUASES,2022-02-04,2,2022,4º Departamento - Juiz de Fora,3) Interior de MG,CONSUMADO,1
311730,CONCEICAO DAS ALAGOAS,2022-03-18,3,2022,5º Departamento - Uberaba,3) Interior de MG,CONSUMADO,1
311860,CONTAGEM,2022-05-04,5,2022,2º Departamento - Contagem,2) RMBH (sem BH),CONSUMADO,1
311950,CORONEL MURTA,2022-10-13,10,2022,15º Departamento - Teófilo Otoni,3) Interior de MG,CONSUMADO,1
312090,CURVELO,2022-05-15,5,2022,14º Departamento - Curvelo,3) Interior de MG,CONSUMADO,1
312230,DIVINOPOLIS,2022-05-30,5,2022,7º Departamento - Divinópolis,3) Interior de MG,CONSUMADO,2
312360,ELOI MENDES,2022-08-11,8,2022,6º Departamento - Lavras,3) Interior de MG,CONSUMADO,1
312410,ESMERALDAS,2022-07-30,7,2022,2º Departamento - Contagem,2) RMBH (sem BH),CONSUMADO,1
312430,ESPINOSA,2022-11-01,11,2022,11º Departamento - Montes Claros,3) Interior de MG,CONSUMADO,1
